reviewText,overall
all Chevy truck beds rust out. junk bodies.,0
junk,0
Don't  Fit very good,0
This car has had nothing but issues. Nissan will not stand by there product so every repair bill becomes a fight with Nissan or a loss of money.,0
I will never buy another Tahoe again. Ive had so many problems with things going wrong with this vehicle. I feel like maybe GM programs the engines to have troubles so that they can continue to profit on repairs. I will buy foreign next.,0
"Built Cheap, 2mths old and the door lock fell into the door. Eats tires like a hog 80,000 miles 4 sets. The body is flimsy and plastic discolors easily.  Drips oil all over the place. Sets ripped at the seams. Get above 65 on the highway and it walks all over the place. Gas milage stinks, really it stinks. 26ish on the highway and 22 around town. Needs a catalytic converter and that costs more than the book value of the car. Yeah, $1,100. I would not trust my Aveo for a road trip for more than 35 miles.
I will say that I'll never buy another Chevrolet.",0
"Needed head gasket, water pump, thermostat. Sill overheated. Took it  back when tire made grinding noise right after fixing the radiator fans that stooped working. All this happened in 4 months.",0
Electrical nightmare! Rebuilt entire front end before computer went out!  Second and last Chrysler I'll ever buy! 4 wheel drive was awesome after I changed all the axle joints!,0
"Would give zero stars if I could.  What a piece of crap, cared for regularly but yet for an 08 car,  by 121k miles bcm went out,  service air bag,  tpms,  traction control all lit up,  radio stopped working,  rear suspension clunks, clear coat peeling, chews up tires.",0
Lousy model.  Have had nothing but problems since I bought it!  Disgraceful excuse for a vehicle.,0
Most of those models have a issue with fuel pump leak.  It had case 2012 with NHSA and Mercedes extended warranty for that.  But if you coming to dealers they can tell you that this car is not covered. Pump has to replaced with whole tank for 4100$. What kind of system is that??? Some small repair like fuel pump can cost more than half car value...,0
Fragile. Too much plastic. Poorly built. Something was always breaking on it from top to bottom,0
Alot of the parts you say will fit my car don't fit,0
"Nothing about this vehicle good. Transmission is horrible and in three years the value of depreciation to a third of the sticker price. Buy something else, you won't regret it.",0
do not work at  all  after mechanic  do it,0
Hated my 6.0 biggest pile Ive ever had. Bought a 2010 Dodge Ram got rid of the ford.,0
Have already broken. After I paid 80.00 to have them programmed. Will be returning them soon,0
"We bought this car for our daughter in college because of the Buick name.  We have had Buick's with 3.8L engines and they were tanks. Not this one!  I also have a friend with the same year and same model and he won't buy a GM again because of it.  The engine has been great, just everything else is bad.  Constantly fixing things on this car.",0
"Been a very poor truck, with many repairs needed over 10 years of ownership.  Two rear ends, one transmission, and one overhauled motor along with many minor repairs.",0
"Worst car I've ever driven. Terrible safety ratings. And it even feels like a screaming metal deathtrap while driving it. If I wanted to put my life at risk for something worthwhile I'd drive something from the 50s or 60s but somehow I still imagine it'd be safer. Its small and I'm tall. Its rims are tiny. Right now its burning a qt of oil every 700 miles. There's no shortage of spare parts. The junkyards have 100s of these things laying to rot. I just don't want to put any money into it. A random part of the car falls off at least once a month. Last time it was the rubber gasket/weatherseal around the drivers side headlight. There is a rust cancer so bad under the hood that everytime I close it little bits of rust rain down, like the pine needles on Charlie Browns christmas tree. But this card definitely needs more than a little love. It needs to be taken outback and crushed into a cube like Brave Little Toaster.",0
"My husband wanted a convertible and bought this car on his own.  It is a total piece of crap.  I'd love to donate it to a charity when he's not looking.  It's broken down most of the time, so I doubt that we've put 500 miles on it since he bought it 6 years ago.",0
I just want to buy the damn car not give it stars and reviews and read other people's opinions of everything they don't know about.,0
