reviewText,overall
chevy truck bed rust junk body,0
junk,0
dont fit good,0
car nothing issue nissan stand product every repair bill becomes fight nissan loss money,0
never buy another tahoe ive many problem thing going wrong vehicle feel like maybe gm program engine trouble continue profit repair buy foreign next,0
built cheap mths old door lock fell door eats tire like hog mile set body flimsy plastic discolors easily drip oil place set ripped seam get highway walk place gas milage stink really stink ish highway around town need catalytic converter cost book value car yeah would trust aveo road trip mile say ill never buy another chevrolet,0
needed head gasket water pump thermostat sill overheated took back tire made grinding noise right fixing radiator fan stooped working happened month,0
electrical nightmare rebuilt entire front end computer went second last chrysler ill ever buy wheel drive awesome changed axle joint,0
would give zero star could piece crap cared regularly yet car k mile bcm went service air bag tpms traction control lit radio stopped working rear suspension clunk clear coat peeling chew tire,0
lousy model nothing problem since bought disgraceful excuse vehicle,0
model issue fuel pump leak case nhsa mercedes extended warranty coming dealer tell car covered pump replaced whole tank kind system small repair like fuel pump cost half car value,0
fragile much plastic poorly built something always breaking top bottom,0
alot part say fit car dont fit,0
nothing vehicle good transmission horrible three year value depreciation third sticker price buy something else wont regret,0
work mechanic,0
hated biggest pile ive ever bought dodge ram got rid ford,0
already broken paid programmed returning soon,0
bought car daughter college buick name buicks l engine tank one also friend year model wont buy gm engine great everything else bad constantly fixing thing car,0
poor truck many repair needed year ownership two rear end one transmission one overhauled motor along many minor repair,0
worst car ive ever driven terrible safety rating even feel like screaming metal deathtrap driving wanted put life risk something worthwhile id drive something somehow still imagine itd safer small im tall rim tiny right burning qt oil every mile there shortage spare part junkyard thing laying rot dont want put money random part car fall least month last time rubber gasketweatherseal around driver side headlight rust cancer bad hood everytime close little bit rust rain like pine needle charlie brown christmas tree card definitely need little love need taken outback crushed cube like brave little toaster,0
husband wanted convertible bought car total piece crap id love donate charity he looking broken time doubt weve put mile since bought year ago,0
want buy damn car give star review read people opinion everything dont know,0
laramie ram cummins diesel engine month mile shop replace different sensor fuel gauge front sensor main sensor board truck recall water pump drop park rim crack dealer informs replacement part time experience poor nice truck drive ram major issue,0
best vehicle ive ever owned none le,0
yo yo id runin hot like coal brah,0
item,0
really dislike car buying another one,0
factory x vacuum system guaranteed break window regulator fail causing cable snap door window fall door,0
dont make mistake buy pt cruiser year put mile spend thousand maintenance door lock multi function switch engine mount ac compressor sway bar plenty others cant remember top head time tradein would barely start shuddered screamed reverse barely two month repair never drove long distance didnt trust break save headache get car little tike would reliable le stressful,0
purchased truck nothing trouble first transmission started shifting hard barely made dealer week put whole new trans got truck back nav stereo stopped working steering started pulling right took truck back dealer took week replace wanted charge said warranty steering column pay said said covered warranty fight started went week talk lawyer change mind cover truck started getting lot squeak rattle dash door around mouth ownership mile said thats enough traded ford f took big hit trade keeping truck purchased f loved far better mileage better towing everything good truck ive owned lot pickup year worst ive ever buying gm,0
defective,0
worst car ever owned money pit cam follower problem vac problem list go stay away,0
poorly built vehicle fully loaded model constantly something wrong nice look built terribly worst purchase ive ever made,0
many common problem high end vehicle,0
suck,0
replacement petrol engine,0
fun drive everything started falling apart k electronics oil consumption leak check jeep message board would take another one vehicle someone gave,0
son bought recommendation driven le mile far spent repair seems always something going wrong much faulty electric includes everything head gasket replacement two different occasion fuel pump water pump radiator condenser emission control dropped window name currently need replacement ac compressor trying save another repair even though car worth read online model notorious breakdown cant understand anyone right mind would want one,0
great car cheater diesel k mile mpg sold back vw due dumping x environment would buy another diesel never another vw,0
thought hot wheel car,0
wrong part sent back look like one didnt solve problem element probably different year also charged shipping send back even though stated would work vehicle happy charge return shipping fee,0
part fit factory wire buy different one part store,0
lose one already others louse chance getting replacement otherwise dont email,0
gave one star option zero star car sister would highly recommend spend bit get civic tercel save money long run lifelong chevy owner car complete joke dont waste money one unless scrap price,0
ha sober buy something else given car year ago mile good go work car always struggled getting heat cooling system rust terribly clog heater core wanting cheap used car would move something century,0
nothing trouble k mile air compressor cat clogged engine always slight clank weird smell everyone tell normal car repair way car worth,0
nothing trouble thing issue shutting driving stalling dealership said gmc wouldnt cover happening since k mile still feel cheaply made hard getting real truck day,0
claimed fit car,0
worst purchase ever made van shop monthly costly repair many recall lost count,0
youre looking suv id check another onewe nothing problem since day got vehicle,0
really piece crap many problem overheats reason heater stop working track control ab light come dont recommend anybody buy car brand new let alone used buying people problem crappie car chevrolet,0
fantastic engine supplied italian company called vm everything else complete garbage vehicle ended great engine search decent car transmission went totally mile total garbage never buy another fca vehicle maybe chevy better justice colorado,0
bout kiddie car year old said slow,0
truck piece junk ever since bought new professional grade marketing seems better doesnt many original part left new tailgate gascap cover cab corner even make look pretty decent bad rot plastic handle break easily many thing covered extended warranty since started breaking still basically new transmission wheel bearing went shortly expired make sure spare truck one likely shop lot ive gotten know repair guy pretty well past several year thinking direct deposit bad new heavy duty truck expensive bad toyota nissan dont make ton ill probably eventually give ford try good luck,0
car junk exhaust upgrade ok head gadget weak timing belt junk overall good car,0
engine good part bad fixed many time hard fix honda toyota changed battery,0
worst decision ever made service time ton part replaced cam sensor cam phasers crank sensor front door panel speaker rear trim panel exterior trim panel always smell like coolant continuous transmission problem stay away,0
choice give negitive star would headlight already used broke return policy isnt best either first time ive received something like amazon im definitely happy,0
never buy another one car great motor never buy car engine,0
everything said fit true force used even thats car size,0
po powered gas flow every fill burn quart oil every mile chrysler issued statement burning much oil totally normal total b,0
light would come properly light would come truck wasnt running truck light switch turned light would work,0
biggest money pit ive ever owned,0
blazer throw away car made go mile crushed melted turned crowbar anvil mine purchased didnt realize used kept fixing thing broke thing like new ac compressor dollar new actuator computer board shift wd wd high wd low dollar new intake manifold gasket factory gasket part plastic rubber plastic fails cause rubber leak new fuel pump new seal transmission transfer case transmission fluid leak eventually fill transfer case seal go directional vacuum valve mounted transfer case leak suck transfer case oil heater ac actuator cause fail plastic frame vanity mirror sun visor disintegrate time light mirror stay running battery problem good start owned car higher mile much better result blazer produced take care vehicle service regularly dont rod race blazer intended manufacturer replaced examount mile sure first guy put thousand great thing say blazer second guy got fix everything wore first guy spend money somewhere else rig aint worth,0
car hand worst car ive ever owned bought new problem problem good thing extended warranty eventually cut loss traded something else never buy another nissan,0
part fit even website said didalso hole pump,0
never buy another nissan cheaply made drive rough,0
chrysler must hired engineer sabotage car insufficient air flow cool engine hole front facia line hole bumper engine liter need oil cooler one inside radiator engine pool excessive amount oil cylinder head probably attempt help cool engine engine mounted longitudinally oil pool check dipstick oil level engine running always run quart much oil quart low prove catastrophic catalytic converter way close already hot engine water pump inside engine ridiculous idea coolant get oil weep hole going stop plastic coolant inlet outlet housing glued together come monsterous timing chain hydraulic chain tensioner check ball inside tensioner get little bit dirt sludge sludge motor loosen timing chain engine sits overnight possible timing chain jump bent valve happen install stop block beautiful car handle excellent steering maybe little aggressive suspension little firm excellent gas mileage get mpg highway roomy comfortable extremely large trunk larger engine much better improved air flow air dam installed larger trans cooler added oil cooler battery use moved battery trunk replace timing chain installed improved water pump drive car easy engine survive,0
truck proven everything ever thought chevys true horrible gas mileage mpg top f would get mpg left stranded multiple time due oiling issue never resolved handle like old tank body roll thing ridiculous cant wait get paid get back f,0
poor battery life back camera went black lot issue,0
broke pretty easily built last timing cover go first buy thing second hand chance person thought bullet proof never kept itcheap fix yes worth,0
gas cap leak hot sun messed paint job around,0
far worst vehicle ever owned liter engine stay broken one time another changed many part almost stay broken sometimes get hundred mile repair sometimes mile broken got hundred mile changing glow plug injector harnessed item made hundred mile talking restud engine stop,0
bought one extremely good condition took u keep piece garbage running year misfire bad throw rod got pathetically weak engine eats gas like one business live mountainous region thing sooner sprout wing actually pull weight mention guzzles even gas lincoln thats year older mention cylinder poor condition yet go half gas thing diy repair work wish luck weve least three separate mechanic cringe mentioned car looking part outright said local kia dealership sedonas worst work wont repeat thing mechanic father said experience maybe van nice first came frankly dont stand test time,0
always shop stay away,0
quality issue time shop repair time round trip recall letter stating could issue issue currently ive talked buick alot help great vehicle lot problem,0
hoping gas mpg better like rav much,0
engine problem,0
car month already dozen notification onstar sirius dealer absolutely crazy monitor every single aspect track driving location every moment last month got record saying quick start vehicle value privacy please never buy chevy vehicle star shut btw already recall vehicle must bring back dealer say,0
arrived broken one important clip broken new part thankfully able pull piece old handle piece bag damaged factory shipped,0
summary youre going buy german car buy highest performance variant afford audi srsr bmw etc least justify repair maintenance cost full review first positive avant sport package car gorgeous inside sedan fairly happy wagon fit need time fuel economy bad mpg around town mid highway negative burned oil went qt every mile qt every mile k mile local audi deal replaced ring piston service advisory noticed oil usage since car le k mile process stay top oil usage finally get repair done took year also fuel economy dropped significantly ring piston replaced around town average dropped mpg mpg highway constantly alignment id owned bmw m prior audi driven much harder never alignment issue six year owned audi least five alignment paid pocket ate tire didnt matter type tire put car wouldnt last k mile coming bmw m fairly high performance tire driven hard rear tire would last k k mile easily driven wagon unacceptable chewed tire stayed top alignment kept tire inflated still wore unevenly injector stuck open flooded one cylinder get car towed another extended service item paid tow audi covered repair didnt get reimbursed tow disappointing audi knew flooding injector decided reactive instead proactive happened le week ring piston replaced major service trusted independent shop noticed hesitation k rpm highway last straw car didnt k lightly driven mile wed dumped thousand dollar maintenance repair etc still anticipating issue diverter valve wastegate requiring turbo replacement residual value abysmal used germanluxury car depreciating vwaudi issue seemed additional detrimental effect value car audi sale person even gall tell u luxury car basically built disposable item keeping one past three year fool proposition traded audi day later new honda pilot talked new audi q existing issue wagon typical german alacarte option list didnt seem include backup camera till price well k way anti germanluxury car still justify purchasing high performance german car audi srsr series bmw etc get something substantially unique rest lineup biggest mistake purchasing thought utility german vehicle expectation reliability come majority maintenance repair cost higher performance german vehicle said wish audi would imported r avant would purchased one would still would happily pay cost keep without complaint,0
model year triton joke ford ashamed terrible spark plug design heatac actuator issue intake manifold actuator issue cam phaser issue serious rd motor cam phasers issue listed make sense financially im going get rid truck ford ashamed done owner struggling issue steer clear truck,0
vehicle wiggled wobble left right driving im afraid,0
blower motor front rear sensor breaking rear spring frame rust paint peel front bumper ac problem ab braking system fault engine coil clutch petal clutch truck continuously something breaking get last item fixed consider worst truck ever purchased replacement part cost outrageous,0
car many issue repair costly frequent seems car spends good amount time shop spent plastic crap replacement part volkswagen know warp mechanic volkswagen expressed discust plastic crap engine cover warp stand heat basically mile almost brand new engine almost everything replaced moon roof leaked water pump turbo issue list go getting tesla soon never buy volkswagen rely car,0
engine started shaking month purchase took dealer said nothing could find live see ford escape engine shake year ac stopped working k mile change original tire since failed inspection roll back small slope stop light dangerous person behind close cheap material expensive made get poor milage defeat purpose getting small car save money gas put le k mile far scheduled maintenance done time noise come everywhere car road noise terrible car insulation one worst made car market bought give money american manufacturer late great recession k gamble worse la vega casino guess resale value bad tried get another car realize badly made car month k mile dealer offered k trade depreciation le year regretted buying much never ever buy ford car,0
worst car ive ever displeasure working cant get anything cooling system need replaced multiple time throughout car useful life every little piece plastic break transmission cooling line leak create solution oh try driving sunny angle windshield glare matter,0
never another beetle life,0
fit even cutting,0
loved first past couple year thing keep breaking two door open outside took act congress get fix recall item warning light dash explanation tire wear quickly inside suspension set shock mount front worn mile paint bubbled around windshield flaking sometimes crank car surge forward like drive explanation kia positive note comfortable drive handle great ride great seat comfortable microfiber seat cover easily cleaned ive tried dozen different product none bring stain many positive overwhelming number negative wont personally buy another kia,0
product ordered didnt come clip install,0
installing bolt broke half,0
g coupe v motor almost killed twice,0
buy volvo regret buying car cant wait get life,0
amazing power,0
get rid vehicle month three occasion shifted neutral driving service center put lot call flash continued last time nearly rear ended since car went mph mph second,0
firstand last time ill buy company ive bought remote always came direction easy follow get programed,0
want rim put wall buy cause wont fit car,0
back seat cover doesnt fit properly,0
car avoid option light weight narrow track high profile make adventure crosswind downright unstable crosswind rain timing belt water pump idler pulley changed every mile castastrophic engine failure occur go far number plastic nozzle water intake failed mile resulting total water loss cheap plastic part covered warranty even though chevy clearly knew defective replaced mental part cheap radiator connector fractured mile resulting total loss coolant front end almost impossible keep alignment falling alignment bump anything overall cheap basic transportation emphasis cheap,0
